source_url,target_url,status_code
https://www.egyptphotographytours.com/baksheesh-guide-tipping-egypt-2026,https://www.egyptphotographytours.com/egypt-tipping-guide-baksheesh,301
https://www.egyptphotographytours.com/baksheesh-tipping-guide-egypt-2026,https://www.egyptphotographytours.com/egypt-tipping-guide-baksheesh,301
https://www.egyptphotographytours.com/Egyptian-Visa,https://www.egyptphotographytours.com/egypt-visa-guide-2026,301
https://www.egyptphotographytours.com/How-Many-Days,https://www.egyptphotographytours.com/how-many-days,301
https://www.egyptphotographytours.com/bargaining-in-egypt-souk-guide,https://www.egyptphotographytours.com/bargaining-souk-egypt-guide-2026,301
https://www.egyptphotographytours.com/currency-egypt-cash-card-guide-2026,https://www.egyptphotographytours.com/currency-egypt-cash-vs-card-guide-2026,301
https://www.egyptphotographytours.com/honeymoon-tours,https://www.egyptphotographytours.com/egypt-honeymoon-guide-romantic-tours,301
https://www.egyptphotographytours.com/egypt-solo-female-budget-guide-2026,https://www.egyptphotographytours.com/solo-female-egypt-budget-guide-2026,301
https://www.egyptphotographytours.com/egypt-transportation-guide,https://www.egyptphotographytours.com/egypt-transportation-guide-2026,301
https://www.egyptphotographytours.com/travel-insurance-egypt-guide-2026,https://www.egyptphotographytours.com/egypt-travel-insurance-guide-2026,301
https://www.egyptphotographytours.com/egyptian-food-guide,https://www.egyptphotographytours.com/ultimate-egyptian-food-guide-2026,301
https://www.egyptphotographytours.com/food-safety-guide-2026,https://www.egyptphotographytours.com/food-safety-egypt-guide-2026,301
https://www.egyptphotographytours.com/holy-family-trail-egypt,https://www.egyptphotographytours.com/holy-family-trail-egypt-2026,301
https://www.egyptphotographytours.com/islamic-cairo-walking-tour,https://www.egyptphotographytours.com/islamic-cairo-walking-tour-2026,301
https://www.egyptphotographytours.com/ramadan-travel-guide-2026,https://www.egyptphotographytours.com/ramadan-egypt-travel-guide-2026,301
https://www.egyptphotographytours.com/valley-of-the-kings-guide,https://www.egyptphotographytours.com/valley-of-the-kings-guide-2026,301
https://www.egyptphotographytours.com/wheelchair-accessibility-egypt-temples,https://www.egyptphotographytours.com/wheelchair-accessibility-egypt-temples-guide-2026,301
https://www.egyptphotographytours.com/inside giza pyramids,https://www.egyptphotographytours.com/inside-giza-pyramids,301
https://www.egyptphotographytours.com/ultimate-egyptian-food-guide-2025,https://www.egyptphotographytours.com/ultimate-egyptian-food-guide-2026,301
https://www.egyptphotographytours.com/digital-nomad-egypt-cafes-coworking-spaces,https://www.egyptphotographytours.com/digital-nomad-egypt-cafes-coworking-2026,301
https://www.egyptphotographytours.com/egypt-sim-cards-guide-2026,https://www.egyptphotographytours.com/egypt-sim-card-internet-wifi-guide-2026,301
https://www.egyptphotographytours.com/staying-connected-egypt-sim-card-options,https://www.egyptphotographytours.com/egypt-sim-card-internet-wifi-guide-2026,301
https://www.egyptphotographytours.com/egypt-visa-requirements-2026,https://www.egyptphotographytours.com/egypt-visa-guide-2026,301
https://www.egyptphotographytours.com/egyptian-visa,https://www.egyptphotographytours.com/egypt-visa-guide-2026,301
https://www.egyptphotographytours.com/following-cleopatra-footsteps-egypt-2026,https://www.egyptphotographytours.com/following-cleopatras-footsteps-through-egypt-2026,301
https://www.egyptphotographytours.com/future-tourism-egypt-2026,https://www.egyptphotographytours.com/future-tourism-egypt-new-hotels-attractions-2026,301
https://www.egyptphotographytours.com/honeymoon-egypt-romantic-guide,https://www.egyptphotographytours.com/egypt-honeymoon-guide-romantic-tours,301
https://www.egyptphotographytours.com/honeymoon-egypt-romantic-hotels-experiences,https://www.egyptphotographytours.com/egypt-honeymoon-guide-romantic-tours,301
https://www.egyptphotographytours.com/egypt-honeymoon-tours,https://www.egyptphotographytours.com/egypt-honeymoon-guide-romantic-tours,301
https://www.egyptphotographytours.com/ramadan-in-egypt-travelers-guide-2026,https://www.egyptphotographytours.com/ramadan-egypt-travel-guide-2026,301
https://www.egyptphotographytours.com/souvenirs-to-buy-egypt-spices-perfume-papyrus,https://www.egyptphotographytours.com/souvenirs-to-buy-in-egypt-guide,301
https://www.egyptphotographytours.com/tour-guide-or-solo,https://www.egyptphotographytours.com/tour-guide-or-solo-exploring-egypt,301
https://www.egyptphotographytours.com/yoga-retreats-egypt-photography-tours,https://www.egyptphotographytours.com/yoga-retreats-egypt-photography-custom-tours-2026,301
https://www.egyptphotographytours.com/el-alamein-wwii-battlefields-2026,https://www.egyptphotographytours.com/el-alamein-wwii-guide-2026,301
https://www.egyptphotographytours.com/egyptian-food-guide-2026,https://www.egyptphotographytours.com/ultimate-egyptian-food-guide-2026,301
https://www.egyptphotographytours.com/egypt-drone-laws-2026,https://www.egyptphotographytours.com/drone-laws-egypt-pyramids-guide-2026,301
